iter	Passed	Remaining
410	4227	6058
411	4237	6047
412	4247	6037
413	4259	6028
414	4269	6019
415	4286	6016
416	4298	6009
417	4309	6000
418	4321	5991
419	4337	5989
420	4352	5985
421	4363	5976
422	4374	5967
423	4385	5957
424	4397	5948
425	4409	5941
426	4421	5933
427	4433	5925
428	4443	5913
429	4455	5905
430	4468	5899
431	4483	5894
432	4494	5884
433	4507	5878
434	4519	5869
435	4531	5861
436	4541	5851
437	4554	5844
438	4566	5835
439	4577	5826
440	4589	5817
441	4602	5810
442	4613	5801
443	4622	5788
444	4632	5778
445	4646	5771
446	4658	5763
447	4670	5754
448	4682	5746
449	4693	5736
450	4705	5727
451	4719	5721
452	4731	5713
453	4746	5708
454	4757	5698
455	4768	5688
456	4782	5682
457	4794	5673
458	4805	5664
459	4823	5662
460	4834	5652
461	4847	5645
462	4860	5637
463	4872	5628
464	4885	5620
465	4897	5612
466	4909	5603
467	4923	5596
468	4934	5586
469	4946	5578
470	4958	5568
471	4968	5558
472	4981	5550
473	4992	5540
474	5004	5530
475	5016	5522
476	5028	5513
477	5040	5504
478	5050	5493
479	5062	5484
480	5072	5473
481	5082	5462
482	5094	5453
483	5104	5442
484	5112	5428
485	5122	5418
486	5132	5406
487	5145	5398
488	5157	5389
489	5166	5377
490	5176	5366
491	5186	5355
492	5195	5342
493	5204	5331
494	5212	5318
495	5224	5308
496	5233	5296
497	5241	5283
498	5251	5272
499	5260	5260
500	5270	5249
501	5279	5237
502	5288	5225
503	5298	5214
504	5307	5202
505	5317	5191
506	5327	5180
507	5339	5171
508	5349	5160
509	5358	5148
510	5368	5137
511	5377	5125
512	5386	5113
513	5397	5103
514	5405	5090
515	5414	5078
516	5423	5066
517	5434	5056
518	5443	5045
519	5451	5032
520	5461	5021
521	5470	5009
522	5481	4999
523	5489	4986
524	5499	4975
525	5509	4964
526	5517	4952
527	5527	4940
528	5538	4931
529	5549	4921
530	5558	4909
531	5567	4897
532	5576	4886
533	5585	4874
534	5595	4863
535	5603	4850
536	5613	4839
537	5622	4828
538	5631	4816
539	5641	4805
540	5650	4793
541	5659	4782
542	5669	4771
543	5679	4760
544	5689	4749
545	5698	4738
546	5707	4726
547	5716	4714
548	5725	4703
549	5734	4691
550	5744	4680
551	5758	4673
552	5767	4662
553	5777	4650
554	5786	4639
555	5795	4628
556	5805	4617
557	5813	4605
558	5824	4595
559	5834	4584
560	5845	4574
561	5858	4565
562	5868	4555
563	5877	4543
564	5887	4533
565	5895	4520
566	5905	4509
567	5914	4498
568	5923	4486
569	5935	4477
570	5945	4466
571	5954	4455
572	5973	4451
573	5984	4441
574	5996	4432
575	6006	4421
576	6017	4411
577	6029	4402
578	6039	4391
579	6052	4382
580	6065	4373
581	6074	4363
582	6086	4353
583	6097	4343
584	6105	4331
585	6115	4320
586	6125	4309
587	6134	4298
588	6144	4287
589	6153	4276
590	6162	4265
591	6172	4253
592	6184	4244
593	6197	4236
594	6207	4225
595	6217	4214
596	6227	4204
597	6236	4192
598	6246	4181
599	6254	4169
600	6264	4159
601	6273	4147
602	6284	4137
603	6293	4126
604	6302	4114
605	6313	4104
606	6321	4093
607	6346	4091
608	6385	4099
609	6420	4104
610	6464	4115
611	6482	4109
612	6497	4101
613	6510	4092
614	6523	4083
615	6533	4072
616	6577	4082
617	6591	4074
618	6600	4062
619	6611	4052
620	6622	4041
621	6631	4030
622	6644	4020
623	6656	4010
624	6665	3999
625	6677	3989
626	6688	3978
627	6697	3967
628	6707	3956
629	6716	3944
630	6725	3932
631	6735	3922
632	6744	3910
633	6754	3899
634	6766	3889
635	6775	3877
636	6786	3867
637	6795	3855
638	6804	3844
639	6812	3831
640	6822	3820
641	6833	3810
642	6841	3798
643	6851	3787
644	6860	3776
645	6871	3765
646	6883	3755
647	6896	3746
648	6906	3735
649	6918	3725
650	6929	3714
651	6939	3703
652	6951	3693
653	6962	3683
654	6971	3672
655	6984	3662
656	6998	3653
657	7007	3642
658	7016	3630
659	7026	3619
660	7036	3608
661	7045	3597
662	7054	3585
663	7063	3574
664	7072	3562
665	7082	3551
666	7092	3540
667	7100	3529
668	7110	3518
669	7120	3507
670	7130	3496
671	7141	3485
672	7153	3475
673	7164	3465
674	7175	3454
675	7183	3443
676	7194	3432
677	7202	3420
678	7212	3409
679	7225	3400
680	7240	3391
681	7251	3381
682	7268	3373
683	7279	3362
684	7289	3352
685	7298	3340
686	7308	3329
687	7317	3318
688	7328	3307
689	7339	3297
690	7349	3286
691	7358	3275
692	7369	3264
693	7377	3252
694	7386	3241
695	7396	3230
696	7406	3219
697	7414	3207
698	7423	3196
699	7433	3185
700	7442	3174
701	7455	3164
702	7463	3153
703	7474	3142
704	7487	3133
705	7499	3123
706	7510	3112
707	7521	3101
708	7529	3090
709	7541	3080
710	7553	3070
711	7562	3058
712	7571	3047
713	7581	3036
714	7589	3025
715	7602	3015
716	7615	3005
717	7624	2994
718	7635	2984
719	7646	2973
720	7656	2962
721	7666	2951
722	7674	2940
723	7684	2929
724	7695	2919
725	7704	2907
726	7714	2896
727	7723	2885
728	7734	2875
729	7743	2864
730	7752	2852
731	7761	2841
732	7770	2830
733	7781	2819
734	7790	2808
735	7800	2798
736	7810	2787
737	7818	2775
738	7828	2764
739	7838	2754
740	7849	2743
741	7859	2732
742	7868	2721
743	7878	2710
744	7887	2699
745	7897	2689
746	7907	2678
747	7915	2666
748	7926	2656
749	7934	2644
750	7944	2634
751	7956	2623
752	7965	2612
753	7974	2601
754	7983	2590
755	7993	2579
756	8002	2568
757	8014	2558
758	8030	2549
759	8042	2539
760	8051	2528
761	8062	2518
762	8075	2508
763	8089	2498
764	8100	2488
765	8113	2478
766	8124	2467
767	8132	2456
768	8142	2445
769	8152	2435
770	8160	2423
771	8170	2413
772	8179	2401
773	8189	2391
774	8197	2379
775	8206	2368
776	8216	2358
777	8226	2347
778	8236	2336
779	8245	2325
780	8256	2315
781	8267	2304
782	8275	2293
783	8286	2282
784	8294	2271
785	8305	2261
786	8315	2250
787	8324	2239
788	8334	2228
789	8345	2218
790	8355	2207
791	8364	2196
792	8372	2185
793	8384	2175
794	8393	2164
795	8403	2153
796	8414	2143
797	8423	2132
798	8435	2122
799	8446	2111
800	8456	2100
801	8467	2090
802	8478	2080
803	8488	2069
804	8500	2059
805	8515	2049
806	8535	2041
807	8550	2031
808	8566	2022
809	8615	2020
810	8651	2016
811	8699	2014
812	8724	2006
813	8736	1996
814	8751	1986
815	8766	1976
816	8778	1966
817	8790	1955
818	8801	1945
819	8813	1934
820	8824	1923
821	8834	1913
822	8846	1902
823	8857	1891
824	8866	1880
825	8878	1870
826	8889	1859
827	8899	1848
828	8912	1838
829	8923	1827
830	8933	1816
831	8945	1806
832	8957	1795
833	8967	1784
834	8977	1773
835	8988	1763
836	8997	1752
837	9008	1741
838	9018	1730
839	9028	1719
840	9038	1708
841	9050	1698
842	9060	1687
843	9071	1676
844	9080	1665
845	9091	1654
846	9101	1644
847	9109	1632
848	9119	1621
849	9127	1610
850	9137	1599
851	9146	1588
852	9157	1578
853	9171	1567
854	9182	1557
855	9192	1546
856	9203	1535
857	9215	1525
858	9229	1515
859	9240	1504
860	9251	1493
861	9263	1483
862	9275	1472
863	9290	1462
864	9313	1453
865	9322	1442
866	9335	1432
867	9349	1421
868	9363	1411
869	9379	1401
870	9392	1391
871	9404	1380
872	9416	1369
873	9429	1359
874	9442	1348
875	9452	1338
876	9464	1327
877	9476	1316
878	9491	1306
879	9501	1295
880	9512	1284
881	9520	1273
882	9530	1262
883	9541	1252
884	9552	1241
885	9574	1231
886	9584	1220
887	9594	1210
888	9604	1199
889	9614	1188
890	9624	1177
891	9632	1166
892	9642	1155
893	9651	1144
894	9661	1133
895	9672	1122
896	9681	1111
897	9691	1100
898	9699	1089
899	9709	1078
900	9719	1067
901	9728	1056
902	9737	1046
903	9746	1035
904	9756	1024
905	9764	1013
906	9775	1002
907	9784	991
908	9793	980
909	9803	969
910	9811	958
911	9821	947
912	9830	936
913	9840	925
914	9849	915
915	9858	904
916	9868	893
917	9877	882
918	9887	871
919	9897	860
920	9906	849
921	9916	838
922	9925	827
923	9935	817
924	9943	806
925	9952	795
926	9963	784
927	9972	773
928	9985	763
929	9996	752
930	10005	741
931	10014	730
932	10023	719
933	10033	708
934	10041	698
935	10050	687
936	10060	676
937	10070	665
938	10080	654
939	10091	644
940	10102	633
941	10116	622
942	10126	612
943	10135	601
944	10145	590
945	10156	579
946	10168	569
947	10180	558
948	10190	547
