iter	RMSE
222	43117.87277
223	43094.32928
224	43055.38426
225	43022.93257
226	42985.98762
227	42962.00163
228	42922.02413
229	42898.72526
230	42852.83469
231	42827.12263
232	42801.97071
233	42772.52542
234	42720.89761
235	42677.39201
236	42638.61805
237	42594.45084
238	42575.07711
239	42551.47797
240	42512.61679
241	42473.61529
242	42454.06516
243	42410.24678
244	42372.19933
245	42348.21472
246	42310.38565
247	42281.21971
248	42251.92733
249	42211.56296
250	42185.79608
251	42150.4786
252	42128.855
253	42095.48913
254	42071.82505
255	42020.22079
256	41984.19281
257	41956.05849
258	41921.48863
259	41887.83642
260	41856.4723
261	41842.71136
262	41823.47858
263	41794.3128
264	41760.52031
265	41732.58687
266	41690.00008
267	41665.50397
268	41635.84365
269	41589.6271
270	41569.33839
271	41541.79813
272	41517.08062
273	41492.5033
274	41470.95696
275	41447.9243
276	41420.08213
277	41404.47532
278	41381.31671
279	41351.83491
280	41329.5433
281	41307.40209
282	41294.40035
283	41265.88924
284	41238.52352
285	41213.2461
286	41191.47153
287	41167.12476
288	41134.08532
289	41112.61064
290	41090.58436
291	41053.85031
292	41033.48026
293	41016.09977
294	40994.84219
295	40980.77324
296	40961.69678
297	40921.85936
298	40898.59961
299	40874.46775
300	40843.60416
301	40832.04249
302	40806.08833
303	40780.61815
304	40740.20888
305	40717.34017
306	40682.10223
307	40650.49702
308	40631.22923
309	40606.66172
310	40597.97957
311	40570.42871
312	40535.41889
313	40511.9799
314	40483.45957
315	40472.24701
316	40450.40728
317	40417.77484
318	40398.49398
319	40377.73504
320	40354.42292
321	40333.9761
322	40303.99295
323	40287.41645
324	40254.17095
325	40232.69201
326	40213.97351
327	40183.605
328	40167.75254
329	40148.12074
330	40132.23498
331	40100.08082
332	40083.35485
333	40052.89338
334	40029.3811
335	40006.8782
336	39981.86499
337	39965.852
338	39944.44287
339	39925.87338
340	39913.1084
341	39885.73817
342	39859.75578
343	39840.57436
344	39824.2629
345	39793.60806
346	39776.17617
347	39752.51164
348	39728.56133
349	39704.11193
350	39681.26552
351	39667.48427
352	39651.49948
353	39618.93554
354	39604.21821
355	39586.68988
356	39547.43806
357	39526.42517
358	39501.15735
359	39483.17024
360	39467.03836
361	39446.40319
362	39422.46911
363	39406.72801
364	39394.1441
365	39379.56318
366	39362.45733
367	39336.65763
368	39320.98007
369	39304.86797
370	39271.99418
371	39246.76579
372	39230.85103
373	39209.62127
374	39192.37599
375	39163.6272
376	39147.83462
377	39130.8888
378	39114.96477
379	39096.01657
380	39079.47813
381	39065.43171
382	39044.71428
383	39025.73965
384	38993.04648
385	38979.37014
386	38969.57938
387	38950.58504
388	38921.3768
389	38900.9761
390	38874.69741
391	38858.23581
392	38845.66216
393	38829.03986
394	38815.9846
395	38792.85645
396	38765.98112
397	38737.11553
398	38712.41224
399	38693.52043
400	38673.62343
401	38659.54558
402	38638.56319
403	38612.35958
404	38597.08151
405	38579.59619
406	38561.97554
407	38542.45371
408	38521.0206
409	38501.40845
410	38476.36098
411	38462.96839
412	38454.94154
413	38437.32042
414	38425.43532
415	38405.39517
416	38391.92018
417	38373.56792
418	38352.91797
419	38331.07448
420	38318.4629
421	38303.78447
422	38292.56294
423	38281.90659
424	38267.74872
425	38248.52616
426	38231.15887
427	38219.44584
428	38198.55311
429	38181.5895
430	38163.03227
431	38132.35767
432	38110.93742
433	38087.82314
434	38072.23054
435	38060.21508
436	38043.2893
437	38027.54402
438	38012.42454
439	37997.03985
440	37971.72741
441	37953.5537
442	37937.529
443	37928.00257
444	37915.35377
445	37885.47859
446	37864.83975
447	37854.73472
448	37838.69643
449	37826.42079
450	37805.74292
451	37782.30034
452	37760.2474
453	37740.02303
454	37721.5479
455	37700.95686
456	37689.63405
457	37674.5167
458	37663.69471
459	37646.82338
460	37632.44059
461	37614.05169
462	37593.1571
463	37579.72203
464	37555.3903
465	37542.44955
466	37529.92592
467	37514.87399
468	37501.6582
469	37485.75954
470	37466.67232
471	37452.39401
472	37432.79062
473	37416.21498
474	37397.89674
475	37389.61254
476	37376.7348
477	37360.11444
478	37343.48559
479	37328.03523
480	37316.76835
481	37301.3054
482	37281.71704
483	37268.02559
484	37254.40685
485	37239.73367
486	37225.80418
487	37206.03911
488	37179.85287
489	37159.91006
490	37140.67122
491	37126.10858
492	37109.04984
493	37099.29812
494	37086.13441
495	37076.3342
496	37061.96226
497	37050.78349
498	37037.30528
499	37022.31245
500	37006.76998
501	36997.97653
502	36980.39438
503	36957.29157
504	36935.58592
505	36916.04632
506	36890.27121
507	36876.72382
508	36850.18201
509	36838.42407
510	36828.89367
511	36802.21869
512	36787.00157
513	36770.20375
514	36757.61453
515	36741.23279
516	36723.0641
517	36714.83267
518	36705.72549
519	36684.30384
520	36672.08932
521	36655.40777
522	36640.52283
523	36627.29382
524	36611.09038
525	36583.36534
526	36571.23254
527	36550.54238
528	36542.0043
529	36528.9152
530	36517.40878
531	36495.96058
532	36481.53451
533	36465.53734
534	36450.86357
535	36438.08465
536	36413.72348
537	36403.16103
538	36391.2391
539	36370.34443
540	36359.65372
541	36342.43368
542	36327.62279
543	36310.5891
544	36300.15847
545	36287.25494
546	36279.76381
547	36261.98112
548	36251.20029
549	36235.72073
550	36217.64085
551	36205.10547
552	36192.65297
553	36182.2967
554	36171.06082
555	36145.41036
556	36133.1072
557	36118.12634
558	36098.8432
559	36087.84363
560	36074.56134
561	36054.34758
562	36037.74107
563	36018.23001
564	36005.00357
565	35995.09538
566	35980.06931
567	35966.54314
568	35953.13071
569	35942.90501
570	35932.55186
571	35921.36722
572	35912.39814
573	35896.39236
574	35880.19095
575	35865.28818
576	35854.12736
577	35836.55274
578	35825.90747
579	35811.50842
580	35794.93654
581	35770.74348
582	35758.46114
583	35746.05876
584	35734.4576
585	35720.63777
586	35702.36533
587	35696.13337
588	35686.57499
589	35672.60938
590	35658.1145
591	35648.26611
592	35635.6638
593	35624.54711
594	35611.43857
595	35594.56852
596	35573.68438
597	35560.61995
598	35546.64754
599	35528.42077
600	35513.12163
601	35496.56402
602	35480.19891
603	35471.04324
604	35461.29933
605	35448.01417
606	35434.09459
607	35416.16412
608	35405.63778
609	35394.26554
610	35385.62316
611	35377.73505
612	35364.36763
613	35342.09809
614	35331.04696
615	35300.89232
616	35291.46955
617	35277.93354
618	35259.97709
619	35245.763
620	35232.79088
621	35224.3442
622	35209.09076
623	35188.23533
624	35178.53019
625	35162.01169
626	35151.20163
627	35134.33932
628	35122.9277
629	35107.98656
630	35093.34294
631	35084.58065
632	35076.31058
633	35058.68841
634	35045.75813
635	35028.91485
636	35016.77885
637	34990.66254
638	34978.09515
639	34968.90904
640	34955.59083
641	34941.96173
642	34934.66317
643	34922.13952
644	34909.10542
645	34895.09363
646	34879.55028
647	34865.00714
648	34855.08731
649	34843.88809
650	34830.13526
651	34815.36979
652	34797.28151
653	34781.08397
654	34765.46462
655	34756.33905
656	34743.01529
657	34733.02818
658	34725.00306
659	34711.51766
660	34684.10574
661	34675.01575
662	34664.68202
663	34656.4974
664	34647.9232
665	34636.81983
666	34618.70236
667	34606.04225
668	34587.84527
669	34573.41487
670	34559.47649
671	34543.9218
672	34528.82364
673	34514.38541
674	34506.63881
675	34497.12677
676	34484.90148
677	34477.64483
678	34471.76259
679	34458.98215
680	34448.61328
681	34434.4429
682	34419.61262
683	34406.98143
684	34393.9096
685	34382.7825
686	34373.45553
687	34362.13888
688	34350.23498
689	34337.16334
690	34324.76604
691	34310.15526
692	34295.59232
693	34281.81113
694	34269.72307
695	34255.38186
696	34243.55994
697	34237.27108
698	34228.03632
699	34219.99867
700	34207.99714
701	34191.33556
702	34183.44068
703	34173.66887
704	34161.37607
705	34150.10033
706	34135.09459
707	34119.57332
708	34110.46129
709	34102.82874
710	34080.4098
711	34064.94726
712	34052.33639
713	34044.74472
714	34034.74077
715	34019.77996
716	34009.51214
717	33998.40908
718	33968.29842
719	33954.41142
720	33935.92828
721	33916.96182
722	33910.0602
723	33898.97733
724	33887.46207
725	33878.91554
726	33865.60527
727	33858.22366
728	33846.94839
729	33841.04421
730	33832.87097
731	33826.32517
732	33819.88493
733	33805.25855
734	33793.67522
735	33776.35411
736	33763.98783
737	33754.8673
738	33740.67107
739	33732.45095
740	33721.43464
741	33710.92859
742	33699.08511
743	33685.42276
744	33668.10977
745	33654.2661
746	33645.0381
747	33635.71035
748	33623.6403
749	33614.24625
750	33603.13379
751	33596.86879
752	33583.34868
753	33571.06876
754	33560.17875
755	33549.01825
756	33536.54928
757	33529.41137
758	33519.69485
759	33508.52334
760	33494.52884
761	33486.40863
762	33469.36991
763	33462.83022
764	33455.83869
765	33443.6694
766	33436.10377
767	33428.86849
768	33413.5644
769	33402.28504
770	33389.45312
771	33379.66476
772	33364.62754
773	33351.55687
774	33339.71434
775	33326.70496
776	33316.67271
777	33302.29999
778	33287.87383
779	33275.19499
780	33259.68792
781	33247.3754
782	33229.85746
783	33219.46413
784	33211.89718
785	33199.66993
786	33182.26724
787	33172.54758
788	33162.92458
789	33155.05041
790	33143.06691
791	33133.06282
792	33122.36199
793	33114.68775
794	33101.47964
795	33092.74693
796	33082.47547
797	33069.61243
798	33056.84047
799	33046.99455
800	33034.14131
801	33023.53334
802	33011.91223
803	33000.68042
804	32994.71935
805	32990.72689
806	32987.02746
807	32974.63176
808	32967.93527
809	32955.90525
810	32948.7298
811	32936.71145
812	32925.3753
813	32921.62328
814	32909.20878
815	32899.74247
816	32889.74211
817	32877.87637
818	32862.24486
819	32849.31151
820	32839.86731
821	32830.64781
822	32823.03134
823	32812.89099
824	32804.40474
825	32796.1863
826	32786.25696
827	32774.49951
828	32761.52153
829	32748.31376
830	32739.908
831	32728.6573
832	32717.63401
833	32703.13731
834	32693.93794
835	32689.06036
836	32678.78837
837	32672.31191
838	32658.22795
839	32646.08561
840	32633.17912
841	32623.91728
842	32617.21296
843	32609.16634
844	32593.66954
845	32582.0563
846	32572.37389
847	32562.8814
848	32551.74008
849	32548.76141
850	32536.79158
851	32527.83045
852	32512.81325
853	32501.13821
854	32491.72971
855	32484.08407
856	32466.90341
857	32453.80439
858	32446.84187
859	32433.30314
860	32424.38191
861	32410.07721
862	32399.43078
863	32388.01103
864	32381.5651
865	32368.60569
866	32355.134
867	32344.50354
868	32339.11878
869	32328.31014
870	32320.41144
871	32313.47539
872	32301.31448
873	32290.94577
874	32283.75262
875	32271.7003
876	32263.38374
877	32251.86347
878	32244.2596
879	32237.05611
880	32233.64594
881	32227.59156
882	32213.38298
883	32206.65814
884	32193.35887
885	32178.77592
886	32165.39964
887	32156.09346
888	32146.33909
889	32136.57668
890	32124.46425
891	32115.97163
892	32106.43606
893	32098.18933
894	32088.71534
895	32073.51082
896	32056.51431
897	32040.61461
898	32029.02918
899	32016.98644
900	32005.77365
901	31993.80267
902	31984.6359
903	31973.33817
904	31961.73844
905	31954.28796
906	31945.11418
907	31935.4831
908	31925.28091
909	31917.40359
910	31908.64747
911	31897.48826
912	31885.97254
913	31870.83201
914	31863.15337
915	31853.59766
916	31845.69525
917	31840.76562
918	31832.04464
919	31822.87933
920	31813.04566
921	31806.88077
922	31802.31451
923	31790.25541
924	31778.56464
925	31766.81292
926	31758.53744
927	31748.37928
928	31734.22022
929	31722.18944
930	31719.68313
931	31713.75361
932	31705.93229
933	31701.07008
934	31693.14124
935	31679.96579
936	31665.4324
937	31656.82709
938	31647.91317
939	31635.17303
940	31627.10175
941	31615.64386
942	31606.24395
943	31597.16903
944	31585.12095
945	31575.95914
946	31563.70016
947	31552.46712
948	31540.65673
949	31519.06319
950	31508.10659
951	31502.70391
952	31489.78318
953	31480.27897
954	31468.80059
955	31462.0045
956	31458.88759
957	31448.33374
958	31435.93949
959	31422.86775
960	31415.91344
961	31407.77355
962	31399.59886
963	31387.17865
964	31377.85609
965	31368.51558
966	31360.19812
967	31356.39525
968	31344.11813
969	31335.7429
970	31323.68057
971	31314.6705
972	31302.4039
973	31295.21565
974	31285.61298
975	31278.91164
976	31270.90052
977	31263.25656
978	31253.79866
979	31244.31548
980	31233.375
981	31227.16026
982	31215.94754
983	31212.56367
984	31204.5508
985	31197.19474
986	31188.79413
987	31182.65629
988	31174.88176
989	31164.61644
990	31159.8602
991	31153.84982
992	31139.64406
993	31129.76267
994	31116.76208
995	31107.57646
996	31099.52571
997	31086.87835
998	31075.13231
999	31069.90291
